School Type,Teacher-to-student ratio,Attendance,Mathematics Books,Mock result,NECTA result
Government,113,72,Own a Book,F,0
Private,79,87,Own a Book,B,1
Private,55,86,Not Own Book,D,0
Private,87,91,Own a Book,A,1
Private,105,88,Own a Book,B,1
Private,62,84,Not Own Book,A,1
Private,93,82,Not Own Book,D,1
Government,132,70,Own a Book,A,1
Government,217,62,Own a Book,F,0
Private,107,82,Own a Book,A,1
Private,71,82,Own a Book,C,1
Government,81,72,Not Own Book,D,0
Private,89,96,Own a Book,B,1
Government,160,73,Not Own Book,F,0
Government,172,78,Own a Book,F,0
Government,134,69,Not Own Book,F,0
Private,61,88,Own a Book,C,1
Private,92,99,Own a Book,A,1
Private,79,93,Own a Book,B,1
Government,85,79,Own a Book,D,0
Government,180,67,Own a Book,F,0
Government,171,69,Not Own Book,C,1
Government,135,74,Own a Book,F,0
Private,99,83,Own a Book,A,1
Private,65,71,Own a Book,A,1
Government,142,73,Own a Book,C,1
Government,184,79,Not Own Book,D,0
Private,76,88,Not Own Book,B,1
Private,54,83,Own a Book,A,1
Private,77,85,Own a Book,C,0
Government,131,50,Not Own Book,F,0
Government,188,66,Not Own Book,F,0
Government,156,58,Own a Book,F,0
Government,154,63,Not Own Book,D,0
Government,102,58,Not Own Book,F,0
Government,139,57,Not Own Book,D,0
Private,89,80,Own a Book,A,1
Private,63,92,Own a Book,B,1
Private,74,84,Own a Book,C,1
Private,60,80,Own a Book,A,1
Government,96,77,Not Own Book,C,1
Government,146,71,Not Own Book,D,0
Government,157,50,Not Own Book,F,0
Government,239,79,Not Own Book,F,0
Government,129,70,Not Own Book,F,0
Government,147,77,Not Own Book,C,1
Government,93,67,Not Own Book,D,0
Government,177,86,Not Own Book,F,0
Government,167,66,Not Own Book,F,0
Government,216,50,Own a Book,F,0
Private,91,81,Own a Book,F,0
Government,165,75,Not Own Book,D,0
Private,67,89,Own a Book,A,1
Private,78,87,Own a Book,B,1
Government,145,60,Own a Book,F,0
Government,192,70,Own a Book,F,0
Private,87,87,Own a Book,C,1
Private,70,87,Own a Book,C,1
Government,84,75,Own a Book,D,0
Private,95,89,Not Own Book,B,1
Private,83,86,Own a Book,C,1
Government,135,59,Not Own Book,B,1
Private,83,97,Own a Book,B,1
Government,153,89,Own a Book,C,1
Government,209,87,Not Own Book,B,1
Government,63,76,Own a Book,C,1
Government,132,53,Not Own Book,B,0
Government,221,52,Own a Book,F,0
Private,83,84,Own a Book,B,1
Government,229,69,Not Own Book,D,0
Private,56,87,Own a Book,C,1
Government,198,71,Own a Book,D,0
Private,90,78,Own a Book,B,1
Private,50,99,Own a Book,A,1
Government,136,85,Own a Book,B,1
Private,73,78,Own a Book,C,1
Private,50,74,Not Own Book,F,0
Private,70,87,Not Own Book,C,1
Private,88,96,Own a Book,A,1
Private,69,87,Own a Book,D,0
Private,78,89,Own a Book,A,1
Government,161,65,Not Own Book,D,1
Government,149,71,Own a Book,D,1
Government,118,79,Not Own Book,F,0
Private,84,90,Own a Book,A,1
Government,78,75,Own a Book,F,0
Private,75,76,Own a Book,A,1
Government,212,91,Own a Book,D,0
Government,129,53,Own a Book,D,0
Private,64,89,Own a Book,A,1
Government,182,68,Own a Book,F,0
Government,157,68,Not Own Book,B,1
Government,183,78,Not Own Book,F,0
Government,151,62,Own a Book,F,0
Government,60,65,Not Own Book,D,1
Government,203,58,Not Own Book,F,0
Private,106,95,Own a Book,A,1
Private,94,89,Own a Book,A,1
Government,60,76,Not Own Book,A,1
Government,170,78,Not Own Book,F,1
Government,128,89,Not Own Book,F,0
Government,101,88,Not Own Book,F,0
Government,155,73,Not Own Book,F,0
Government,143,71,Not Own Book,D,0
Private,82,84,Own a Book,C,1
Government,152,77,Not Own Book,D,0
Private,58,92,Own a Book,A,1
Government,124,62,Not Own Book,F,0
Private,63,93,Own a Book,C,1
Private,50,95,Own a Book,D,1
Government,88,58,Not Own Book,B,1
Government,140,71,Not Own Book,B,1
Government,214,69,Own a Book,F,0
Government,125,69,Not Own Book,B,1
Government,115,60,Not Own Book,C,0
Private,57,75,Own a Book,C,1
Government,151,62,Not Own Book,F,0
Government,203,61,Not Own Book,D,0
Private,105,90,Own a Book,D,1
Private,79,90,Not Own Book,C,1
Government,156,73,Not Own Book,A,1
Private,66,78,Own a Book,A,1
Government,133,58,Own a Book,F,0
Government,178,63,Own a Book,B,1
Government,135,70,Not Own Book,F,0
Private,72,85,Not Own Book,A,1
Private,74,90,Not Own Book,C,1
Government,123,79,Not Own Book,C,1
Government,146,60,Own a Book,F,0
Private,50,81,Own a Book,A,1
Government,174,71,Own a Book,D,1
Government,255,69,Own a Book,D,1
Private,66,93,Own a Book,C,1
Government,166,70,Own a Book,F,0
Government,188,87,Not Own Book,F,0
Private,94,76,Own a Book,A,1
Private,71,93,Not Own Book,F,1
Private,50,89,Own a Book,C,1
Private,79,78,Not Own Book,C,1
Private,76,73,Not Own Book,D,1
Government,134,58,Not Own Book,F,0
Private,72,96,Not Own Book,C,1
Government,156,80,Not Own Book,A,1
Private,80,87,Own a Book,C,1
Government,164,66,Not Own Book,D,0
Government,140,61,Not Own Book,B,1
Government,167,68,Not Own Book,F,0
Government,137,65,Not Own Book,F,0
Government,178,87,Not Own Book,B,1
Private,65,79,Own a Book,A,1
Government,153,73,Not Own Book,B,1
Private,50,99,Own a Book,A,1
Private,69,93,Own a Book,C,1
Private,83,80,Own a Book,B,1
Government,103,54,Own a Book,F,0
Government,135,72,Not Own Book,F,0
Private,50,89,Own a Book,A,1
Government,88,82,Own a Book,D,1
Private,58,91,Own a Book,B,1
Government,154,65,Own a Book,F,1
Private,80,84,Own a Book,B,1
Government,147,56,Not Own Book,C,1
Government,132,71,Not Own Book,C,1
Government,132,55,Own a Book,A,1
Government,182,79,Not Own Book,F,0
Government,159,75,Not Own Book,C,1
Government,134,75,Not Own Book,C,1
Private,94,78,Own a Book,D,1
Private,104,86,Own a Book,B,1
Government,93,66,Own a Book,C,1
Private,82,88,Own a Book,B,1
Private,120,91,Own a Book,C,1
Government,162,64,Not Own Book,B,0
Private,76,84,Own a Book,F,1
Private,74,92,Own a Book,C,1
Private,82,80,Own a Book,B,1
Private,86,82,Not Own Book,D,1
Private,56,88,Own a Book,C,1
Government,148,78,Own a Book,B,1
Private,50,81,Own a Book,A,1
Private,71,99,Own a Book,A,1
Government,109,56,Not Own Book,F,0
Private,80,98,Own a Book,B,1
Private,50,96,Own a Book,A,1
Government,126,55,Own a Book,B,1
Government,193,53,Not Own Book,F,0
Private,64,93,Own a Book,B,1
Private,50,85,Not Own Book,D,1
Government,161,59,Not Own Book,F,0
Government,123,88,Own a Book,A,1
Private,72,79,Own a Book,A,1
Government,117,62,Own a Book,B,1
Government,238,63,Not Own Book,D,0
Government,79,50,Not Own Book,F,0
Private,117,88,Own a Book,D,1
Private,69,81,Own a Book,D,1
Government,158,78,Own a Book,B,1
Private,66,94,Not Own Book,B,1
Government,122,72,Own a Book,F,0
Government,114,72,Own a Book,D,1
Government,177,71,Own a Book,F,0
Private,53,83,Own a Book,A,1
Private,80,83,Own a Book,F,1
Private,50,97,Not Own Book,B,1
Private,79,93,Own a Book,D,1
Private,87,89,Own a Book,B,1
Government,92,76,Own a Book,F,0
Government,180,69,Not Own Book,A,1
Government,152,71,Own a Book,B,1
Government,221,75,Own a Book,B,1
Private,62,73,Own a Book,C,1
Government,276,79,Own a Book,D,0
Government,60,78,Own a Book,A,1
Government,135,62,Not Own Book,F,0
Private,50,96,Own a Book,A,1
Government,233,50,Not Own Book,F,0
Private,71,90,Own a Book,A,1
Government,142,70,Not Own Book,C,1
Government,169,66,Not Own Book,F,0
Private,74,88,Own a Book,C,1
Government,123,75,Not Own Book,C,0
Private,56,75,Own a Book,A,1
Private,77,95,Own a Book,A,1
Government,167,65,Not Own Book,F,0
Private,85,95,Own a Book,D,0
Private,103,92,Not Own Book,B,1
Government,60,65,Own a Book,B,1
Private,73,87,Own a Book,A,1
Private,92,87,Own a Book,A,1
Government,144,86,Own a Book,D,1
Private,50,80,Own a Book,C,1
Private,55,84,Own a Book,D,1
Government,164,54,Not Own Book,F,0
Private,79,88,Own a Book,B,1
Government,180,63,Not Own Book,F,0
Private,63,84,Not Own Book,D,1
Private,78,98,Own a Book,D,1
Government,107,61,Not Own Book,F,0
Government,161,68,Not Own Book,D,0
Government,152,65,Not Own Book,F,0
Private,62,85,Not Own Book,B,1
Private,98,99,Not Own Book,B,1
Private,50,75,Own a Book,B,1
Private,72,92,Not Own Book,A,1
Private,62,99,Own a Book,A,1
Private,102,95,Own a Book,C,1
Government,176,70,Own a Book,F,0
Government,120,58,Not Own Book,B,1
Government,137,83,Own a Book,A,1
Private,102,94,Own a Book,A,1
Government,107,54,Own a Book,F,0
Private,50,85,Own a Book,A,1
Private,79,79,Not Own Book,C,1
Government,164,50,Not Own Book,F,0
Private,84,79,Own a Book,D,1
Government,180,71,Own a Book,D,1
Government,229,75,Not Own Book,F,0
Government,72,66,Not Own Book,C,1
Government,95,83,Own a Book,C,1
Private,84,95,Own a Book,A,1
Government,100,68,Not Own Book,D,1
Private,53,86,Own a Book,D,1
Government,233,73,Not Own Book,F,0
Private,50,87,Own a Book,C,1
Private,69,78,Own a Book,B,1
Private,74,85,Own a Book,B,1
Government,208,76,Not Own Book,F,0
Government,65,83,Not Own Book,B,1
Private,81,94,Own a Book,A,1
Government,109,73,Not Own Book,D,1
Government,178,84,Not Own Book,A,1
Private,61,90,Not Own Book,D,0
Private,98,87,Own a Book,A,1
Government,109,84,Own a Book,B,1
Government,60,77,Not Own Book,D,0
Private,63,97,Not Own Book,B,1
Government,138,58,Not Own Book,B,1
Government,198,61,Not Own Book,B,1
Government,93,61,Own a Book,F,0
Private,56,89,Own a Book,B,1
Private,89,99,Not Own Book,C,0
Private,54,80,Own a Book,B,1
Private,72,94,Own a Book,B,1
Government,142,57,Own a Book,B,1
Government,159,91,Not Own Book,C,1
Government,116,54,Own a Book,D,1
Private,61,93,Own a Book,C,1
Government,165,78,Own a Book,A,1
Private,61,92,Not Own Book,A,1
Government,88,61,Not Own Book,C,0
Private,93,80,Own a Book,D,1
Private,82,96,Own a Book,A,1
Government,229,80,Own a Book,F,0
Private,86,95,Own a Book,C,1
Private,55,96,Not Own Book,D,1
Government,154,54,Own a Book,D,0
Government,104,54,Not Own Book,F,0
Government,75,63,Not Own Book,F,0
Government,129,65,Own a Book,F,0
Government,194,64,Not Own Book,F,0
Private,79,89,Own a Book,C,1
Private,54,95,Own a Book,A,1
Government,128,67,Own a Book,B,1
Private,72,82,Own a Book,A,1
Private,50,93,Own a Book,A,1
Government,182,67,Not Own Book,F,0
Government,139,71,Own a Book,D,0
Private,54,85,Not Own Book,B,1
Government,84,73,Not Own Book,D,1
Government,199,59,Not Own Book,D,0
Government,132,77,Own a Book,C,1
Government,203,69,Own a Book,F,0
Government,220,62,Own a Book,F,0
Government,196,75,Own a Book,C,1
Government,125,62,Not Own Book,C,1
Private,50,82,Own a Book,C,1
Private,79,79,Own a Book,C,1
Private,106,76,Own a Book,D,1
Private,74,91,Own a Book,A,1
Government,60,81,Own a Book,B,1
Government,119,65,Own a Book,F,0
Government,141,62,Own a Book,C,1
Government,100,51,Not Own Book,F,0
Private,50,72,Own a Book,F,0
Government,145,77,Own a Book,D,1
Government,114,50,Own a Book,C,1
Government,229,58,Not Own Book,F,0
Private,76,89,Own a Book,C,1
Private,82,88,Own a Book,A,1
Government,144,73,Not Own Book,F,1
Private,76,88,Own a Book,A,1
Government,75,66,Not Own Book,F,0
Government,103,58,Own a Book,D,0
Government,198,63,Not Own Book,D,0
Private,78,85,Own a Book,C,1
Government,132,51,Not Own Book,F,0
Government,171,62,Own a Book,C,1
Private,82,85,Own a Book,C,1
Private,104,83,Not Own Book,D,1
Private,77,85,Own a Book,F,1
Government,102,76,Own a Book,B,1
Private,73,93,Own a Book,B,1
Private,84,98,Not Own Book,B,1
Private,89,77,Not Own Book,D,1
Private,50,85,Not Own Book,C,1
Private,78,96,Own a Book,C,1
Government,109,52,Not Own Book,F,0
Government,124,58,Own a Book,F,0
Government,188,63,Not Own Book,F,0
Government,183,90,Own a Book,C,1
Government,119,60,Own a Book,B,1
Government,142,80,Own a Book,C,0
Government,125,69,Not Own Book,F,0
Private,118,79,Own a Book,A,1
Government,162,92,Not Own Book,D,0
Government,112,71,Not Own Book,B,1
Private,94,90,Own a Book,A,1
Government,211,75,Not Own Book,D,1
Government,230,74,Not Own Book,C,1
Private,106,99,Own a Book,F,0
Government,181,87,Own a Book,D,0
Private,69,81,Not Own Book,B,1
Government,140,90,Own a Book,B,1
Government,136,62,Not Own Book,F,0
Private,68,90,Own a Book,A,1
Government,205,55,Not Own Book,F,0
Private,75,95,Own a Book,A,1
Private,89,85,Own a Book,C,1
Government,180,58,Not Own Book,D,0
Government,100,81,Not Own Book,C,1
Government,72,84,Own a Book,C,0
Private,56,98,Own a Book,A,1
Private,68,77,Own a Book,D,1
Private,77,99,Not Own Book,A,1
Private,65,85,Own a Book,A,1
Government,181,90,Not Own Book,C,1
Government,126,76,Own a Book,B,1
Private,78,89,Own a Book,C,1
Government,155,70,Own a Book,D,0
Private,101,87,Own a Book,B,1
Government,106,63,Not Own Book,D,0
Private,108,80,Not Own Book,A,1
Private,66,85,Own a Book,C,1
Private,54,96,Not Own Book,C,1
Government,140,56,Own a Book,D,0
Government,295,83,Not Own Book,F,0
Government,190,71,Own a Book,C,1
Government,177,77,Not Own Book,D,0
Private,86,93,Own a Book,A,1
Private,63,94,Not Own Book,D,1
Government,164,70,Own a Book,D,0
Private,75,88,Own a Book,D,1
Private,102,94,Own a Book,A,1
Private,73,80,Own a Book,B,1
Private,69,79,Own a Book,C,1
Government,97,65,Not Own Book,D,0
Government,156,72,Not Own Book,D,0
Government,163,89,Not Own Book,D,1
Private,56,88,Own a Book,A,1
Private,81,99,Own a Book,B,1
Private,78,91,Own a Book,A,1
Government,195,65,Not Own Book,F,0
Government,204,81,Own a Book,D,0
Government,154,67,Not Own Book,B,1
Private,59,89,Own a Book,B,1
Government,112,56,Own a Book,F,0
Government,229,54,Own a Book,F,0
Government,157,75,Own a Book,D,0
Private,101,95,Own a Book,A,1
Private,82,99,Own a Book,A,1
Government,183,61,Not Own Book,D,0
Private,89,98,Own a Book,B,1
Government,94,83,Not Own Book,D,0
Government,163,65,Own a Book,F,0
Government,94,83,Own a Book,B,1
Government,137,79,Not Own Book,F,0
Government,178,81,Not Own Book,D,1
Government,103,91,Not Own Book,A,1
Private,83,95,Own a Book,C,1
Government,82,50,Own a Book,F,0
Government,201,73,Not Own Book,D,0
Private,65,77,Own a Book,B,1
Government,103,71,Own a Book,D,1
Government,85,70,Not Own Book,A,1
Government,123,64,Not Own Book,F,0
Private,50,80,Own a Book,A,1
Private,66,84,Not Own Book,F,0
Private,91,85,Not Own Book,F,0
Government,141,68,Not Own Book,D,1
Private,57,88,Own a Book,B,1
Government,160,75,Not Own Book,F,0
Private,77,85,Own a Book,A,1
Government,238,82,Own a Book,B,1
Private,86,87,Own a Book,B,1
Government,163,79,Not Own Book,D,0
Government,190,66,Not Own Book,F,0
Government,143,92,Not Own Book,C,1
Private,73,91,Not Own Book,C,1
Government,224,86,Own a Book,C,1
Government,76,63,Own a Book,D,0
Private,89,84,Own a Book,D,1
Private,73,86,Not Own Book,A,1
Private,70,99,Own a Book,A,1
Government,125,67,Own a Book,A,1
Private,77,82,Own a Book,F,0
Private,74,97,Own a Book,A,1
Private,68,88,Own a Book,A,1
Private,64,86,Own a Book,A,1
Government,64,63,Not Own Book,A,1
Government,117,74,Not Own Book,D,0
Private,67,95,Own a Book,A,1
Government,156,77,Own a Book,C,1
Private,104,84,Own a Book,A,1
Private,65,81,Own a Book,D,1
Government,103,50,Not Own Book,D,1
Government,117,60,Not Own Book,C,0
Government,156,66,Not Own Book,F,0
Private,83,87,Not Own Book,D,1
Private,85,86,Own a Book,D,0
Government,187,92,Own a Book,F,0
Government,193,74,Not Own Book,F,0
Government,137,57,Not Own Book,F,0
Government,242,76,Own a Book,D,0
Private,69,90,Own a Book,D,1
Government,154,59,Not Own Book,F,0
Government,208,72,Not Own Book,F,0
Private,83,91,Own a Book,B,1
Private,50,95,Own a Book,D,1
Government,150,52,Not Own Book,F,0
Private,87,92,Own a Book,A,1
Private,54,97,Own a Book,D,1
Private,86,99,Not Own Book,B,1
Government,167,57,Not Own Book,C,1
Government,203,68,Not Own Book,F,0
Private,64,87,Own a Book,A,1
Private,89,92,Own a Book,D,1
Government,157,68,Not Own Book,F,0
Private,101,82,Not Own Book,A,1
Government,275,72,Not Own Book,C,1
Government,219,66,Not Own Book,F,0
Private,82,91,Own a Book,F,1
Government,254,61,Own a Book,D,0
Government,177,59,Own a Book,C,0
Government,109,83,Own a Book,C,1
Private,74,99,Own a Book,B,1
Government,184,88,Not Own Book,A,1
Private,87,87,Own a Book,A,1
Private,58,95,Own a Book,B,1
Government,100,63,Not Own Book,C,1
Government,134,75,Not Own Book,C,1
Private,83,83,Own a Book,C,1
Government,179,82,Own a Book,F,0
Private,77,95,Not Own Book,D,0
Government,112,90,Own a Book,B,1
Private,101,86,Not Own Book,A,1
Government,101,85,Own a Book,A,1
Private,94,91,Own a Book,A,1
Government,183,70,Own a Book,D,0
Government,207,73,Own a Book,D,0
Government,130,86,Not Own Book,F,0
Private,72,87,Own a Book,A,1
Government,152,69,Own a Book,C,1
Government,128,50,Not Own Book,F,0
Government,160,68,Own a Book,C,1
Private,98,89,Own a Book,C,1
Private,55,82,Not Own Book,C,0
Government,120,59,Not Own Book,F,0
Government,115,51,Not Own Book,F,0
Government,145,64,Own a Book,F,0
Government,143,84,Own a Book,C,1
Private,86,77,Not Own Book,C,1
Government,151,77,Own a Book,C,1
Government,163,78,Not Own Book,C,0
Private,80,99,Own a Book,B,1
Government,161,80,Not Own Book,F,0
Private,85,94,Own a Book,A,1
Private,73,90,Own a Book,B,0
Private,99,88,Own a Book,D,1
Private,113,93,Not Own Book,D,1
Government,181,82,Not Own Book,F,0
Government,160,71,Not Own Book,D,0
Government,178,82,Not Own Book,C,1
Private,58,99,Own a Book,A,1
Private,77,88,Not Own Book,C,1
Private,64,88,Not Own Book,B,1
Government,172,69,Not Own Book,F,0
Government,117,71,Not Own Book,A,1
Private,69,96,Own a Book,A,1
Private,50,88,Own a Book,D,0
Government,97,71,Not Own Book,C,0
Private,80,86,Own a Book,D,1
Private,61,91,Own a Book,D,1
Private,90,84,Own a Book,C,1
Government,107,57,Own a Book,C,1
Government,170,74,Not Own Book,C,1
Private,63,99,Not Own Book,A,1
Private,80,85,Own a Book,B,1
Private,51,80,Not Own Book,C,1
Government,129,89,Own a Book,B,1
Private,62,88,Not Own Book,A,1
Private,88,94,Own a Book,B,1
Government,170,62,Own a Book,F,0
Government,94,70,Not Own Book,F,0
Government,140,84,Not Own Book,F,0
Private,63,88,Own a Book,C,1
Government,192,71,Not Own Book,F,0
Private,94,77,Not Own Book,D,1
Private,53,93,Own a Book,A,1
Government,187,62,Not Own Book,F,0
Government,112,81,Not Own Book,F,0
Private,71,89,Own a Book,A,1
Government,151,72,Not Own Book,D,1
Government,231,77,Own a Book,B,1
Government,104,73,Not Own Book,C,1
Government,187,87,Own a Book,C,1
Government,97,85,Own a Book,D,0
Private,56,79,Own a Book,A,1
Government,151,68,Own a Book,F,0
Private,75,93,Own a Book,A,1
Private,50,81,Not Own Book,B,1
Private,92,77,Not Own Book,A,1
Private,50,82,Not Own Book,B,1
Private,72,87,Own a Book,A,1
Private,94,65,Not Own Book,D,0
Private,108,80,Not Own Book,D,1
Government,133,52,Not Own Book,F,0
Private,53,96,Own a Book,B,1
Government,208,79,Own a Book,F,0
Private,87,89,Own a Book,A,1
Government,127,71,Not Own Book,D,0
Government,122,75,Not Own Book,B,1
Private,64,81,Own a Book,C,0
Government,134,82,Own a Book,A,1
Government,164,70,Own a Book,C,1
Private,66,94,Own a Book,A,1
Private,68,94,Not Own Book,A,1
Government,178,75,Own a Book,A,1
Private,52,90,Not Own Book,A,1
Government,133,72,Own a Book,D,0
Private,50,87,Own a Book,C,1
Government,154,74,Not Own Book,D,1
Private,50,89,Not Own Book,C,1
Private,88,84,Own a Book,A,1
Government,90,76,Own a Book,A,1
Government,70,72,Own a Book,B,1
Private,69,96,Not Own Book,C,1
Government,226,51,Own a Book,F,0
Private,85,88,Own a Book,C,0
Private,50,82,Own a Book,B,1
Private,54,84,Own a Book,D,1
Private,69,91,Not Own Book,B,1
Private,108,77,Not Own Book,F,0
Government,107,71,Not Own Book,F,0
Government,108,70,Not Own Book,F,0
Government,218,59,Not Own Book,F,0
Private,77,89,Own a Book,B,1
Private,90,82,Not Own Book,C,1
Private,64,99,Own a Book,A,1
Government,145,82,Not Own Book,C,1
Government,209,70,Not Own Book,F,0
Government,143,65,Not Own Book,D,0
Government,200,75,Own a Book,F,0
Government,167,77,Not Own Book,F,0
Private,59,89,Not Own Book,C,1
Government,149,59,Not Own Book,D,0
Government,194,67,Own a Book,F,0
Government,180,70,Not Own Book,F,0
Government,148,72,Own a Book,C,1
Government,64,73,Own a Book,C,1
Government,69,77,Own a Book,A,1
Government,78,83,Own a Book,A,1
Private,67,95,Own a Book,B,0
Private,69,92,Own a Book,C,1
Government,83,57,Not Own Book,C,1
Government,196,81,Not Own Book,C,1
Private,56,93,Not Own Book,C,1
Government,88,67,Not Own Book,F,0
Government,153,70,Not Own Book,F,0
Private,89,88,Not Own Book,B,1
Government,242,65,Not Own Book,F,0
Private,83,75,Not Own Book,D,1
Private,98,80,Own a Book,C,1
Private,56,81,Own a Book,A,1
Government,247,50,Not Own Book,F,0
Private,50,80,Own a Book,A,1
Private,67,95,Own a Book,A,1
Government,175,74,Own a Book,D,1
Government,77,60,Not Own Book,A,1
Government,108,63,Not Own Book,D,1
Private,58,96,Not Own Book,C,1
Private,70,96,Own a Book,A,1
Private,96,88,Own a Book,D,1
Private,75,96,Own a Book,C,1
Private,68,82,Own a Book,C,0
Private,50,89,Own a Book,B,1
Government,171,55,Own a Book,D,1
Private,86,85,Not Own Book,C,1
Government,73,70,Not Own Book,C,1
Government,146,53,Not Own Book,F,0
Private,77,92,Own a Book,B,1
Private,89,93,Own a Book,C,1
Government,117,80,Own a Book,F,0
Government,110,92,Not Own Book,F,0
Private,68,90,Own a Book,B,1
Government,207,69,Not Own Book,D,0
Government,196,53,Own a Book,F,0
Private,74,90,Own a Book,B,1
Private,90,91,Own a Book,B,1
Government,60,56,Own a Book,B,1
Government,185,67,Own a Book,F,0
Private,58,88,Own a Book,B,1
Private,101,91,Own a Book,B,1
Private,59,93,Own a Book,D,1
Government,111,64,Own a Book,C,1
Private,83,89,Own a Book,C,1
Government,179,75,Not Own Book,D,1
Private,68,86,Own a Book,B,1
Private,80,85,Own a Book,D,1
Private,82,92,Not Own Book,C,1
Private,80,86,Not Own Book,F,0
Government,131,58,Own a Book,F,0
Private,82,97,Not Own Book,A,1
Private,96,80,Own a Book,D,1
Private,56,87,Not Own Book,D,1
Government,112,73,Not Own Book,F,1
Private,75,91,Not Own Book,D,0
Government,102,71,Not Own Book,D,0
Private,50,67,Own a Book,D,0
Government,199,62,Not Own Book,F,0
Private,50,90,Own a Book,C,1
Government,131,68,Own a Book,A,1
Private,86,91,Own a Book,A,1
Government,162,80,Not Own Book,D,0
Private,69,91,Own a Book,A,1
Government,100,62,Not Own Book,F,0
Government,165,64,Not Own Book,B,1
Government,105,86,Own a Book,D,1
Private,78,86,Own a Book,A,1
Government,156,69,Not Own Book,C,1
Private,77,91,Not Own Book,B,1
Private,65,96,Own a Book,A,1
Private,105,81,Own a Book,D,1
Government,166,65,Own a Book,D,0
Private,70,76,Own a Book,D,1
Private,78,85,Own a Book,A,1
Private,63,91,Own a Book,D,1
Private,69,85,Own a Book,A,1
Government,257,87,Own a Book,F,0
Private,63,88,Not Own Book,B,1
Government,146,68,Not Own Book,C,1
Private,68,85,Own a Book,B,1
Private,59,78,Own a Book,B,1
Government,168,69,Own a Book,F,0
Government,151,73,Not Own Book,D,0
Private,88,87,Own a Book,A,1
Government,186,72,Not Own Book,A,1
Government,190,63,Own a Book,F,0
Private,61,79,Own a Book,A,1
Private,84,87,Own a Book,A,1
Private,84,89,Own a Book,A,1
Private,59,86,Own a Book,A,1
Private,70,89,Own a Book,A,1
Government,84,77,Not Own Book,D,1
Government,180,77,Own a Book,B,1
Private,84,94,Own a Book,A,1
Private,96,95,Own a Book,A,1
Private,71,91,Own a Book,A,1
Private,81,90,Own a Book,A,1
Government,194,89,Own a Book,B,1
Private,63,93,Own a Book,A,1
Government,109,61,Own a Book,C,0
Government,117,51,Not Own Book,D,0
Private,69,86,Own a Book,D,0
Government,110,76,Not Own Book,D,1
Government,119,79,Own a Book,C,1
Private,88,79,Own a Book,C,1
Government,145,77,Own a Book,D,1
Private,79,95,Own a Book,A,1
Private,66,92,Own a Book,A,1
Private,65,90,Own a Book,A,1
Government,162,68,Not Own Book,D,1
Government,155,65,Own a Book,D,0
Private,86,93,Own a Book,B,1
Government,208,75,Own a Book,C,1
Private,64,85,Own a Book,A,1
Government,188,92,Not Own Book,D,1
Private,58,77,Own a Book,A,1
Government,243,67,Not Own Book,F,0
Private,63,82,Own a Book,B,1
Private,85,90,Own a Book,B,1
Private,58,74,Not Own Book,C,0
Private,72,96,Own a Book,D,1
Private,98,95,Own a Book,A,1
Government,113,72,Own a Book,C,1
Private,108,85,Not Own Book,B,1
Private,74,93,Own a Book,D,0
Government,193,73,Own a Book,A,1
Government,168,79,Not Own Book,C,1
Government,170,68,Not Own Book,F,0
Government,85,68,Not Own Book,B,1
Private,67,95,Not Own Book,A,1
Private,92,92,Own a Book,C,1
Government,134,68,Not Own Book,C,0
Private,77,90,Own a Book,A,1
Government,80,71,Not Own Book,F,0
Private,66,91,Not Own Book,B,1
Private,91,96,Own a Book,A,1
Private,55,85,Own a Book,D,1
Private,85,83,Not Own Book,A,1
Private,77,89,Own a Book,A,1
Private,71,84,Own a Book,D,1
Private,70,81,Not Own Book,C,1
Government,127,79,Not Own Book,F,0
Government,131,67,Own a Book,A,1
Private,88,74,Own a Book,C,1
Government,130,78,Own a Book,F,1
Private,102,84,Own a Book,D,0
Government,163,75,Not Own Book,D,0
Government,124,80,Own a Book,C,1
Private,89,89,Own a Book,F,0
Government,178,50,Not Own Book,C,0
Private,50,74,Own a Book,A,1
Government,103,63,Not Own Book,F,0
Government,144,69,Not Own Book,F,0
Government,78,82,Own a Book,B,1
Government,244,72,Own a Book,C,1
Government,187,92,Own a Book,A,1
Private,74,77,Own a Book,A,1
Private,69,88,Own a Book,D,1
Government,123,65,Not Own Book,F,0
Private,50,89,Own a Book,C,1
Private,50,99,Not Own Book,A,1
Private,103,99,Own a Book,C,1
Private,98,88,Own a Book,A,1
Government,124,78,Not Own Book,F,0
Government,190,72,Not Own Book,F,0
Government,172,59,Not Own Book,F,0
Government,178,70,Not Own Book,C,1
Government,85,64,Not Own Book,D,1
Private,50,87,Not Own Book,D,0
Private,92,82,Own a Book,B,1
Government,60,71,Not Own Book,A,1
Private,72,90,Own a Book,A,1
Government,133,77,Own a Book,C,1
Private,68,90,Own a Book,A,1
Government,164,86,Own a Book,C,0
Private,64,99,Own a Book,A,1
Government,167,65,Own a Book,F,0
Private,77,94,Own a Book,C,0
Government,244,91,Not Own Book,C,1
Government,87,79,Not Own Book,C,0
Private,75,93,Not Own Book,B,1
Government,169,51,Not Own Book,D,0
Government,138,64,Own a Book,A,1
Government,89,65,Own a Book,C,1
Private,93,97,Own a Book,A,1
Government,165,62,Own a Book,F,0
Government,92,69,Own a Book,C,1
Government,169,78,Not Own Book,D,0
Private,100,82,Own a Book,D,1
Government,148,72,Own a Book,F,0
